Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
268,Stoke City,Manchester United,1,1,D,O,1,1,D,O,2,2,D,O,Stoke City / Manchester United,Stoke City / Manchester United,4.33
269,Arsenal,Bournemouth,2,0,H,O,1,0,H,U,3,0,H,O,Arsenal,Bournemouth,1.36
270,Brighton,West Brom,1,0,H,U,2,1,H,O,3,1,H,O,Brighton,West Brom,2.4
271,Everton,Tottenham,0,2,A,O,0,1,A,U,0,3,A,O,Tottenham,Everton,2.2
272,Leicester,Chelsea,0,1,A,U,1,1,D,O,1,2,A,O,Chelsea,Leicester,1.73
273,Southampton,Watford,0,1,A,U,0,1,A,U,0,2,A,U,Watford,Southampton,4.5
274,Manchester City,Liverpool,2,0,H,O,3,0,H,O,5,0,H,O,Manchester City,Liverpool,1.83
275,Liverpool,Arsenal,2,0,H,O,2,0,H,O,4,0,H,O,Liverpool,Arsenal,2.3
276,Tottenham,Burnley,0,0,D,U,1,1,D,O,1,1,D,U,Tottenham / Burnley,Tottenham / Burnley,6.5
277,Chelsea,Everton,2,0,H,O,0,0,D,U,2,0,H,U,Chelsea,Everton,1.44
278,West Brom,Stoke City,0,0,D,U,1,1,D,O,1,1,D,U,West Brom / Stoke City,West Brom / Stoke City,3.3
279,Manchester United,Leicester,0,0,D,U,2,0,H,O,2,0,H,U,Manchester United,Leicester,1.22
280,Crystal Palace,Swansea,0,1,A,U,0,1,A,U,0,2,A,U,Swansea,Crystal Palace,3.9
281,Huddersfield,Southampton,0,0,D,U,0,0,D,U,0,0,D,U,Huddersfield / Southampton,Huddersfield / Southampton,3.3
282,Newcastle Utd,West Ham,1,0,H,U,2,0,H,O,3,0,H,O,Newcastle Utd,West Ham,2.5
283,Watford,Brighton,0,0,D,U,0,0,D,U,0,0,D,U,Watford / Brighton,Watford / Brighton,3.5
284,Bournemouth,Manchester City,1,1,D,O,0,1,A,U,1,2,A,O,Manchester City,Bournemouth,1.33
285,Manchester City,Everton,0,1,A,U,1,0,H,U,1,1,D,U,Manchester City / Everton,Manchester City / Everton,4.75
286,Tottenham,Chelsea,0,1,A,U,1,1,D,O,1,2,A,O,Chelsea,Tottenham,2.63
287,Huddersfield,Newcastle Utd,0,0,D,U,1,0,H,U,1,0,H,U,Huddersfield,Newcastle Utd,2.75
288,Stoke City,Arsenal,0,0,D,U,1,0,H,U,1,0,H,U,Stoke City,Arsenal,4.75
289,Bournemouth,Watford,0,0,D,U,0,2,A,O,0,2,A,U,Watford,Bournemouth,3.75
290,Burnley,West Brom,0,0,D,U,0,1,A,U,0,1,A,U,West Brom,Burnley,2.75
291,Leicester,Brighton,1,0,H,U,1,0,H,U,2,0,H,U,Leicester,Brighton,1.73
292,Liverpool,Crystal Palace,0,0,D,U,1,0,H,U,1,0,H,U,Liverpool,Crystal Palace,1.33
293,Southampton,West Ham,2,1,H,O,1,1,D,O,3,2,H,O,Southampton,West Ham,1.8
294,Swansea,Manchester United,0,1,A,U,0,3,A,O,0,4,A,O,Manchester United,Swansea,1.5
295,Manchester United,West Ham,1,0,H,U,3,0,H,O,4,0,H,O,Manchester United,West Ham,1.33
296,Newcastle Utd,Tottenham,0,0,D,U,0,2,A,O,0,2,A,U,Tottenham,Newcastle Utd,1.67
297,Brighton,Manchester City,0,0,D,U,0,2,A,O,0,2,A,U,Manchester City,Brighton,1.36
298,Chelsea,Burnley,0,3,A,O,2,0,H,O,2,3,A,O,Burnley,Chelsea,17
299,Crystal Palace,Huddersfield,0,2,A,O,0,1,A,U,0,3,A,O,Huddersfield,Crystal Palace,5
300,Everton,Stoke City,1,0,H,U,0,0,D,U,1,0,H,U,Everton,Stoke City,1.67
301,Southampton,Swansea,0,0,D,U,0,0,D,U,0,0,D,U,Southampton / Swansea,Southampton / Swansea,3.6
302,West Brom,Bournemouth,1,0,H,U,0,0,D,U,1,0,H,U,West Brom,Bournemouth,2.2
303,Watford,Liverpool,2,1,H,O,1,2,A,O,3,3,D,O,Watford / Liverpool,Watford / Liverpool,4
304,Arsenal,Leicester,2,2,D,O,2,1,H,O,4,3,H,O,Arsenal,Leicester,1.4
305,Arsenal,Everton,2,0,H,O,1,1,D,O,3,1,H,O,Arsenal,Everton,1.5
306,Burnley,West Ham,1,1,D,O,0,1,A,U,1,2,A,O,West Ham,Burnley,2.88
307,Chelsea,Sunderland,1,1,D,O,4,0,H,O,5,1,H,O,Chelsea,Sunderland,1.14
308,Hull City,Tottenham,0,3,A,O,1,4,A,O,1,7,A,O,Tottenham,Hull City,1.67
309,Leicester,Bournemouth,0,1,A,U,1,0,H,U,1,1,D,U,Leicester / Bournemouth,Leicester / Bournemouth,3.5
310,Liverpool,Middlesbrough,1,0,H,U,2,0,H,O,3,0,H,O,Liverpool,Middlesbrough,1.2
311,Manchester United,Crystal Palace,2,0,H,O,0,0,D,U,2,0,H,U,Manchester United,Crystal Palace,1.73
312,Southampton,Stoke City,0,0,D,U,0,1,A,U,0,1,A,U,Stoke City,Southampton,4.5
313,Swansea,West Brom,0,1,A,U,2,0,H,O,2,1,H,O,Swansea,West Brom,2.25
314,Watford,Manchester City,0,4,A,O,0,1,A,U,0,5,A,O,Manchester City,Watford,1.4
315,Leicester,Tottenham,0,2,A,O,1,4,A,O,1,6,A,O,Tottenham,Leicester,1.73
316,Southampton,Manchester United,0,0,D,U,0,0,D,U,0,0,D,U,Southampton / Manchester United,Southampton / Manchester United,3.4
317,Manchester City,West Brom,2,0,H,O,1,1,D,O,3,1,H,O,Manchester City,West Brom,1.2
318,Arsenal,Sunderland,0,0,D,U,2,0,H,O,2,0,H,U,Arsenal,Sunderland,1.14
319,Chelsea,Watford,2,1,H,O,2,2,D,O,4,3,H,O,Chelsea,Watford,1.29
320,Tottenham,Manchester United,1,0,H,U,1,1,D,O,2,1,H,O,Tottenham,Manchester United,1.91
321,West Ham,Liverpool,0,1,A,U,0,3,A,O,0,4,A,O,Liverpool,West Ham,1.67
322,Crystal Palace,Hull City,2,0,H,O,2,0,H,O,4,0,H,O,Crystal Palace,Hull City,2
323,Stoke City,Arsenal,0,1,A,U,1,3,A,O,1,4,A,O,Arsenal,Stoke City,1.67
324,Bournemouth,Burnley,1,0,H,U,1,1,D,O,2,1,H,O,Bournemouth,Burnley,1.95
325,Middlesbrough,Southampton,0,1,A,U,1,1,D,O,1,2,A,O,Southampton,Middlesbrough,1.95
326,Sunderland,Swansea,0,2,A,O,0,0,D,U,0,2,A,U,Swansea,Sunderland,2
327,Manchester City,Leicester,2,1,H,O,0,0,D,U,2,1,H,O,Manchester City,Leicester,1.25
328,West Brom,Chelsea,0,0,D,U,0,1,A,U,0,1,A,U,Chelsea,West Brom,1.44
329,Everton,Watford,0,0,D,U,1,0,H,U,1,0,H,U,Everton,Watford,1.33
330,Southampton,Arsenal,0,0,D,U,0,2,A,O,0,2,A,U,Arsenal,Southampton,1.91
331,Chelsea,Middlesbrough,2,0,H,O,1,0,H,U,3,0,H,O,Chelsea,Middlesbrough,1.17
332,Arsenal,Manchester United,0,0,D,U,2,0,H,O,2,0,H,U,Arsenal,Manchester United,2.25
333,Liverpool,Southampton,0,0,D,U,0,0,D,U,0,0,D,U,Liverpool / Southampton,Liverpool / Southampton,4
334,Swansea,Everton,1,0,H,U,0,0,D,U,1,0,H,U,Swansea,Everton,3.5
335,Bournemouth,Stoke City,0,1,A,U,2,1,H,O,2,2,D,O,Bournemouth / Stoke City,Bournemouth / Stoke City,3.4
336,Burnley,West Brom,0,0,D,U,2,2,D,O,2,2,D,O,Burnley / West Brom,Burnley / West Brom,3.25
337,Hull City,Sunderland,0,0,D,U,0,2,A,O,0,2,A,U,Sunderland,Hull City,5
338,Leicester,Watford,1,0,H,U,2,0,H,O,3,0,H,O,Leicester,Watford,1.7
339,Manchester City,Crystal Palace,1,0,H,U,4,0,H,O,5,0,H,O,Manchester City,Crystal Palace,1.22
340,West Ham,Tottenham,0,0,D,U,1,0,H,U,1,0,H,U,West Ham,Tottenham,6.5
341,Watford,Liverpool,0,1,A,U,0,0,D,U,0,1,A,U,Liverpool,Watford,1.62
342,Tottenham,Arsenal,0,0,D,U,2,0,H,O,2,0,H,U,Tottenham,Arsenal,2.05
343,Everton,Chelsea,0,0,D,U,0,3,A,O,0,3,A,O,Chelsea,Everton,1.91
